PubmedID,Title,Publication Date,Non-Academic Authors,Company Affiliations,Corresponding Author Email
40066659,Inhibition of HDAC4 in granulosa cells improved co-cultured oocyte maturation in vitro independent of LH in porcine.,2025-Mar-11,None,None,Not Available
40066656,Socioeconomic Disparities in Prostate Cancer Treatment: The Impact of Area Deprivation Index on Initial Treatment Type for Localized PCa in a North-American Cohort.,2025-Mar-11,Alex Stephens,None,Not Available
40066655,The role of surgical resection of the primary tumor in metastatic upper tract urothelial carcinoma: a systematic review and meta-analysis.,2025-Mar-11,None,None,Not Available
40066650,"Chronotype, sleep timing, sleep regularity, and cancer risk: A systematic review.",2025-Mar-11,None,None,Not Available
40066574,Influence of handgrip strength on postoperative complications and survival in primary liver cancer patients.,2025-Mar-04,None,None,Not Available
40066501,FLOT1 Is a Novel Serum Biomarker of Ovarian Cancer Targeted by N6-methyladenosine Modification Inhibition.,2025-Mar-11,"Zhenyu Liu, Wei Li","Shanghai Yizhi Medical Technology Co. Ltd, Shanghai, China., Shanghai Yizhi Medical Technology Co. Ltd, Shanghai, China.",Not Available
40066500,Who cares about the dying? - Unpacking integration of palliative care and oncology in the Danish context.,2025-Mar-11,None,None,Not Available
40066468,Impact of prostate cancer screening in European ancestry un-affected men with germline DNA repair pathogenic variants.,2025-Mar-Unknown,None,None,Not Available
40066458,Survival benefits of postoperative radiotherapy in esophageal cancer during the immunotherapy era:a retrospective cohort study based on the SEER database and a single-center registry in China.,2025-Unknown,None,None,Not Available
40066453,Bioinformatics analysis reveals novel tumor antigens and immune subtypes of skin cutaneous melanoma contributing to mRNA vaccine development.,2025-Unknown,None,None,Not Available
40066447,Case Report: Complete response to four cycles of camrelizumab in a PD-L1 negative patient with advanced oral squamous cancer.,2025-Unknown,None,None,Not Available
40066446,Exercise boost after surgery improves survival in model of metastatic breast cancer.,2025-Unknown,None,None,Not Available
40066443,Unveiling SSR4: a promising biomarker in esophageal squamous cell carcinoma.,2025-Unknown,None,None,Not Available
40066442,A comprehensive prognostic and immunological implications of Gremlin 1 in lung adenocarcinoma.,2025-Unknown,None,"Institute of Disinfection and Infection Control, Heilongjiang Provincial Center for Disease Control and Prevention, Harbin, China.",Not Available
40066440,In-depth analysis of the safety of CAR-T cell therapy for solid tumors.,2025-Unknown,None,None,Not Available
40066439,Tissue-resident memory T cells in urinary tract diseases.,2025-Unknown,None,None,Not Available
40066437,Treatment at the end of life in patients with advanced melanoma. A multicenter DeCOG study of 1067 patients from the prospective skin cancer registry ADOReg.,2025-Unknown,None,"Charité-Universitätsmedizin Berlin, Corporate member of Freie Universität Berlin and Humboldt-Universität zu Berlin, Department of Dermatology, Venereology and Allergology, Berlin, Germany.",Not Available
40066409,Expression of Proliferating Cell Nuclear Antigen (PCNA) in Nasal Polyp: A Systematic Review and Meta-analysis.,2025-Jan-Unknown,None,None,Not Available
40066404,"Do The Inflammatory Cells In The Blood And Tissues Have Predictive And Prognostic Value In Benign, Premalignant And Malignant Lesions Of The Larynx?",2025-Jan-Unknown,None,None,Not Available
40066398,Laryngeal Neuroendocrine Carcinoma.,2025-Jan-Unknown,None,None,Not Available
40066397,Angioinvasive Mucormycosis and Internal Carotid Artery Thrombosis: A Case Series.,2025-Jan-Unknown,None,None,Not Available
40066360,Selenium-modified hydroxyapatite titanium coating: enhancing osteogenesis and inhibiting cancer in bone invasion by head and neck squamous cell carcinoma.,2025-Unknown,None,None,Not Available
40066359,Hydrogel and scalp/skin conductivities impact dose from tumor treating fields.,2025-Unknown,"Edwin Lok, Olivia Liang, Eric T Wong",None,Not Available
40066338,Progress of tanshinone IIA against respiratory diseases: therapeutic targets and potential mechanisms.,2025-Unknown,None,None,Not Available
40066335,Gold complex QB1561 suppresses drug-resistant cancer cells by inhibiting TrxR and mitochondrial respiratory function.,2025-Unknown,None,None,Not Available
